Dates,x_close,y_close
2016-07-04,121.36,122.42
2016-07-04,121.25,122.37
2016-07-04,121.49,122.42
2016-07-04,121.48,122.47
2016-07-04,121.57,122.47
2016-07-04,121.68,122.54
2016-07-04,121.67,122.59
2016-07-04,121.66,122.64
2016-07-04,121.71,122.68
2016-07-04,121.78,122.7
2016-07-04,121.75,122.72
2016-07-04,121.77,122.75
2016-07-04,121.75,122.78
2016-07-04,121.71,122.76
2016-07-04,121.78,122.79
2016-07-04,121.74,122.77
2016-07-04,121.75,122.75
2016-07-04,121.66,122.74
2016-07-04,121.7,122.69
2016-07-04,121.67,122.66
2016-07-04,121.65,122.65
2016-07-04,121.51,122.62
2016-07-04,121.56,122.59
2016-07-04,121.56,122.55
2016-07-04,121.62,122.57
2016-07-04,121.67,122.58
2016-07-04,121.59,122.59
2016-07-04,121.58,122.59
2016-07-04,121.54,122.57
2016-07-04,121.45,122.56
2016-07-04,121.51,122.56
2016-07-04,121.49,122.51
2016-07-04,121.46,122.52
2016-07-04,121.66,122.6
2016-07-04,121.73,122.66
2016-07-04,121.85,122.78
2016-07-04,121.89,122.81
2016-07-04,121.91,122.86
2016-07-04,121.88,122.88
2016-07-04,121.85,122.87
2016-07-04,121.64,122.86
2016-07-04,121.63,122.81
2016-07-04,121.65,122.77
2016-07-04,121.6,122.77
2016-07-04,121.62,122.77
2016-07-04,121.64,122.81
2016-07-04,121.62,122.82
2016-07-04,121.73,122.9
2016-07-04,121.73,122.91
2016-07-04,121.68,122.92
2016-07-04,121.63,122.88
2016-07-04,121.56,122.86
2016-07-04,121.52,122.84
2016-07-04,121.51,122.81
2016-07-04,121.46,122.86
2016-07-04,121.51,122.85
2016-07-07,122.36,123.43
2016-07-07,122.39,123.43
2016-07-07,122.26,123.49
2016-07-07,122.21,123.48
2016-07-07,122.18,123.43
2016-07-07,122.22,123.33
2016-07-07,122.2,123.23
2016-07-07,122.05,123.17
2016-07-07,122.06,123.13
2016-07-07,122.15,123.14
2016-07-07,122.11,123.11
2016-07-07,122.05,123.13
2016-07-07,122.08,123.14
2016-07-07,122.09,123.13
2016-07-07,122.08,123.17
2016-07-07,122.06,123.18
2016-07-07,122.05,123.18
2016-07-07,122.03,123.2
2016-07-07,122.02,123.2
2016-07-07,122.03,123.2
2016-07-07,122.01,123.18
2016-07-07,122.01,123.12
2016-07-07,121.96,123.07
2016-07-07,121.98,123.02
2016-07-07,121.98,123.04
2016-07-07,122.04,123.04
2016-07-07,122.15,123.11
2016-07-07,122.14,123.15
2016-07-07,122.22,123.2
2016-07-07,122.17,123.25
2016-07-07,122.24,123.31
2016-07-07,122.27,123.37
2016-07-07,122.22,123.36
2016-07-07,122.22,123.39
2016-07-07,122.27,123.37
2016-07-07,122.38,123.39
2016-07-07,122.34,123.39
2016-07-07,122.25,123.41
2016-07-07,122.29,123.43
2016-07-07,122.35,123.45
2016-07-07,122.38,123.45
2016-07-07,122.28,123.44
2016-07-07,122.28,123.43
2016-07-07,122.31,123.42
2016-07-07,122.38,123.41
2016-07-07,122.33,123.41
2016-07-07,122.29,123.44
2016-07-07,122.28,123.42
2016-07-07,122.32,123.39
2016-07-07,122.32,123.4
2016-07-07,122.33,123.41
2016-07-07,122.31,123.42
2016-07-07,122.35,123.43
2016-07-07,122.54,123.45
2016-07-07,122.57,123.53
2016-07-07,122.56,123.59
2016-07-07,122.64,123.65
2016-07-07,122.6,123.68
2016-07-07,122.59,123.68
2016-07-07,122.58,123.7
2016-07-07,122.62,123.7
2016-07-07,122.64,123.73
2016-07-07,122.79,123.79
2016-07-07,122.82,123.77
2016-07-07,122.99,123.86
2016-07-07,122.98,123.91
2016-07-07,122.92,123.93
2016-07-07,122.95,123.9
2016-07-07,122.94,123.9
2016-07-07,123.02,123.92
2016-07-07,122.96,123.93
2016-07-07,122.92,123.92
2016-07-07,122.81,123.9
2016-07-07,122.86,123.85
2016-07-07,122.82,123.85
2016-07-07,122.86,123.85
2016-07-07,122.99,123.83
2016-07-07,122.95,123.88
2016-07-07,122.86,123.89
2016-07-07,123.02,123.91
2016-07-07,123.23,124
2016-07-07,123.46,124.13
2016-07-07,123.39,124.16
2016-07-07,123.46,124.18
2016-07-07,123.61,124.22
2016-07-07,123.77,124.22
2016-07-07,123.68,124.34
2016-07-07,123.63,124.34
2016-07-07,123.54,124.3
2016-07-07,123.49,124.29
2016-07-07,123.52,124.23
2016-07-07,123.52,124.2
2016-07-07,123.64,124.17
2016-07-07,123.65,124.18
2016-07-07,123.52,124.15
2016-07-07,123.46,124.11
2016-07-07,123.48,124.11
2016-07-07,123.49,124.07
2016-07-07,123.42,124.03
2016-07-07,123.37,123.97
2016-07-07,123.39,124.01
2016-07-07,123.42,123.99
2016-07-07,123.39,123.97
2016-07-07,123.34,123.97
2016-07-07,123.29,123.93
2016-07-07,123.32,123.91
2016-07-07,123.22,123.89
2016-07-07,123.28,123.86
2016-07-07,123.27,123.89
2016-07-07,123.15,123.85
2016-07-07,123.11,123.85
2016-07-07,123.07,123.78
2016-07-07,123.06,123.75
2016-07-07,123.09,123.77
2016-07-07,123.09,123.72
2016-07-07,123.12,123.79
2016-07-07,123.11,123.76
2016-07-07,123.15,123.77
2016-07-07,123.09,123.77
2016-07-07,123.11,123.74
2016-07-07,122.97,123.75
2016-07-07,122.93,123.69
2016-07-07,122.76,123.68
2016-07-07,122.75,123.6
2016-07-07,122.86,123.57
2016-07-07,122.79,123.57
2016-07-07,122.84,123.53
2016-07-07,122.82,123.55
2016-07-07,122.85,123.56
2016-07-07,122.81,123.58
2016-07-07,122.82,123.61
2016-07-07,122.85,123.61
2016-07-07,122.87,123.64
2016-07-07,122.89,123.65
2016-07-07,122.91,123.69
2016-07-07,122.88,123.66
2016-07-07,122.79,123.65
2016-07-07,122.87,123.65
2016-07-07,122.84,123.63
2016-07-07,122.82,123.66
2016-07-07,122.85,123.63
2016-07-07,122.88,123.65
2016-07-07,122.88,123.68
2016-07-07,122.89,123.62
2016-07-07,122.76,123.64
2016-07-07,122.59,123.61
2016-07-07,122.68,123.63
2016-07-07,122.65,123.59
2016-07-07,122.74,123.58
2016-07-07,122.69,123.57
2016-07-07,122.77,123.54
2016-07-07,122.81,123.54
2016-07-07,122.72,123.56
2016-07-07,122.84,123.55
2016-07-07,122.98,123.58
2016-07-07,123.05,123.72
2016-07-07,122.92,123.68
2016-07-07,122.92,123.67
2016-07-07,122.84,123.7
2016-07-07,122.86,123.7
2016-07-07,122.88,123.69
2016-07-07,122.9,123.67
2016-07-07,122.81,123.66
2016-07-07,122.94,123.68
2016-07-07,122.82,123.64
